name,quantity,notes,final_price,original_price,discount,url
Agriventure Fifthi (Fipronil 4 % Ww + Thiamethoxam 4 % Ww Sc) Broad Specticide  Systemic Insecticide,250.00 ml,250 ML x 1 Qty,383,440,57,https://agribegri.com/products/rk-chemicals-fipthi-fipronil-4--ww--thiamethoxam-4--ww-sc.php
"Balwaan S-2 Agricultural Double Barrel Manual Seeder, Suitable for Both Dry and Wet Land Farming",1.00 qty,,1921,6500,4579,https://agribegri.com/products/buy-balwaan-s-2-agricultural-double-barrel-manual-seeder.php
Krishi Rasayan Krosin Streptomycin Sulphate 90 + Tetracycline Hydrochloride 10 SP,30.00 gm,6 Gm x 5 Qty,213,300,87,https://agribegri.com/products/buy-krishi-rasayan-krosin-streptomycin-sulphate-90--tetracycline-hydrochloride-10-sp.php
"Aries Agromin Max Multi Micronutrient Fertilizer, Highly Concentrated and Soluble",500.00 gm,500 Gm x 1 Qty,313,420,107,https://agribegri.com/products/buy-aries-agromin-max-multi-micronutrient-fertilizer.php
"Pad Corp Suzo Lithium-Ion Battery Sprayer With Belt, 10 Liter Tank Capacity For Gardening, Office, Farm House 6 Month Battery Warranty,",1.00 qty,,3999,9000,5001,https://agribegri.com/products/pad-corp-suzo-lithium-ion-battery-sprayer-10-liter-tank-capacity.php
"Pep Solution 16 MM Drip Irrigation Pipe, Complete Set For 1 Acre With Accessories.",1.00 set,Online Drip Pipe,13096,30000,16904,https://agribegri.com/products/pep-solution-inline-16-mm-round-drip-irrigation-pipe.php
"GACIL Super Potassium Humate Organic Concentrated Liquid Fertilizer Natural Growth Promoter, 40% Humic Acid",10.00 liter,5 Ltr x 2 Qty,2900,5000,2100,https://agribegri.com/products/gacil-potassium-humate-organic-concentrated-liquid-40--humic.php
"Vinspire Agricultural Manual Seed Sowing Machine, Adjustable Mouth, Light Weight.",1.00 qty,,8228,15000,6772,https://agribegri.com/products/vinspire-agricultural-manual-seed-sowing-machine-adjustable-mouth.php
"FMC Corprima Insecticide Chlorantraniliprole 35% WDG , Important Lepidopteran Pests In Tomato & Okra Crops",12.00 gm,6 Gm x 2 Qty,420,450,30,https://agribegri.com/products/buy-fmc-corprima-insecticide-chlorantraniliprole-35-wdg.php
"Hilfiger Proino Micronutrient (Protein Amino Acid 80%), Helps In Immunity & Growth In All Crops",900.00 gm,900 Gm x 1 Qty,645,850,205,https://agribegri.com/products/buy-hilfiger-proino-micronutrient-protein-amino-acids-80-online.php
"UPL Gainexa Orthosilicic Acid, Ortho Salicylic Acid 0.6%, Improved Better Yield.",1.00 liter,1 Ltr x 1 Qty,837,1600,763,https://agribegri.com/products/gainexa-ortho-silicic-acid.php
GACIL Seaweed Extract Liquid Fertilizer Growth Promoter For Indoor and Outdoor Plants & Agriculture Crops,5.00 liter,5 Ltr x 1 Qty,1520,2500,980,https://agribegri.com/products/gacil-seaweed-extract-liquid-fertilizer-growth-promoter-agribegri.php
FMC Gezeko Tebuconazole 50% + Trifloxystrobin 25% WG. Broad Spectrum Systemic Fungicide,500.00 gm,500 Gm x 1 Qty,3761,4575,814,https://agribegri.com/products/fmc-gezeko-tebuconazole-50--trifloxystobin-25-wg-fungicides.php
"Aries Fertimax HD Npk 13:00:45, Potassium Nitrate is a High Quality Source of Both Potassium and Nitrogen.",1.20 kg,400 Gm x 3 Qty,979,1692,713,https://agribegri.com/products/buy-aries-fertimax-hd-npk-130045-potassium-nitrate--agribegri.php
"Pad Corp Angel Ganu 36cc 4 Stroke Petrol Engine Operated Power Sprayer, 20 Liter Capacity, Easy To Operate And Start.",1.00 qty,,11569,18000,6431,https://agribegri.com/products/pad-corp-ganu-knapsack-power-sprayer-with-2-stroke-engine-15-ltr.php
"GACIL Ammonium Sulphate 21% Fertilizer For Garden Plants & Agriculture Farming Crops, White Crystalline Powder.",400.00 gm,400 Gm x 1 Qty,444,650,206,https://agribegri.com/products/gacil-ammonium-sulphate-fertilizer-for-garden-plants-agriculture.php
"F-Zone - Fungicide, For Effective Control Over All Types of Fungal Diseases in Crops",250.00 ml,250 ML x 1 Qty,696,1071,375,https://agribegri.com/products/buy-noble-crop-science-f-zone-fungicides-online.php
"FLOWER MAGIC - Effective Flowering Stimulant and Enhancer, Combination Of N.B, Emulsifier, and Fulvic Acid",500.00 ml,500 ML x 1 Qty,780,1331,551,https://agribegri.com/products/flower-magic-plant-growth-promoter-250ml-online--plant-nutrition.php
"Siddhi Plastic Seedling Nursery Tray , Best Quality, Single Time Use Only and Boosts Productivity.",25.00 qty,104 Cavity,459,1899,1440,https://agribegri.com/products/siddhi-plastic-seedling-nursery-tray-with-126-cavities-agribegri.php
"Solar All In One Pole Light With Remote ( Without Pole),No Wiring ,  Need No Electricity Need, Fix In Sunlight And Get Free Light Dawn To Dusk",1.00 set,,3213,3990,777,https://agribegri.com/products/solar-all-in-one-pole-light-30w-with-remotewithout-pole-.php
"Sarpan Hybrid F1 Kashmiri Mirch Seeds , Kashmiri Mirch ke Beej, Best Quality.",10.00 gm,10 Gm x 1 Qty,890,,,https://agribegri.com/products/buy-sarpan-hybrid-f1-kashmiri-mirch-seeds.php
"Bomba - Imidacloprid 17.8% SL Insecticide, Effective Against Jassids, Aphids, Thrips, and Leaf Hoppers",500.00 ml,500 ML x 1 Qty,468,870,402,https://agribegri.com/products/jks.php
Spread-N Silicon-Based Organic Spreading Agent with Super Ability To Spread,100.00 ml,100 ML x 1 Qty,293,328,35,https://agribegri.com/products/buy-noble-crop-science-spread-n-sprayders-wetting-agents-online.php
"Lamor Pro - Lambda Cyhalothrin 5% EC Insecticide, To Effectively Control Stem Borers, Leaf Folders in Paddy, Borers in Brinjal, Thrips, etc.",1.00 liter,1 Ltr x 1 Qty,505,855,350,https://agribegri.com/products/kd.php
"FOREVER - Special Plant Growth Promoter, Yield Enhancer, and Plant Immunity Booster (Humic Acid + Amino Acid + Seaweed Extract + Fulvic + Cytokinin)",250.00 ml,250 ML x 1 Qty,292,458,166,https://agribegri.com/products/-forever-plant-growth-online--list-of-plant-growth-promoter.php
"UPL Cuprofix Copper Sulphate 47.15% + Mancozeb 30% WDG, Fungicide For Grapes",500.00 gm,500 Gm x 1 Qty,501,560,59,https://agribegri.com/products/upl-cuprofix-copper-sulphate-4715--mancozeb-30-wdg.php
"Godrej Agrovet VIPUL BOOSTER Triacontanol 0.1% EW, Plant Growth Regulator",1.00 liter,500 ML x 2 Qty,543,800,257,https://agribegri.com/products/godrej-agrovet-vipul-booster-triacontanol-01-ew.php
Hpm Heera Zinc Plus Zinc 33% (Zinc Sulphate Monohydrate) Foliar Spray Nutrient Growth In Soil.,5.00 kg,250 Gm x 20 Qty,1200,2400,1200,https://agribegri.com/products/hpm-heera-zinc-plus-zinc-33-zinc-sulphate-monohydrate-agribegri.php
